pc_time_s,seq_id,module_id,status,tx_drops,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
47.077290,9833,0xF0,0x00,0,2.33800006,1.70400012,1.39200008,1.56300008,1.50000000,0.67961097,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.097810,9834,0xF0,0x00,0,2.33700013,1.64700007,1.43700004,1.33700001,1.50000000,0.65169561,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.097810,9835,0xF0,0x00,0,2.33800006,1.61100006,1.46600008,1.46300006,1.50000000,0.62583470,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.118478,9836,0xF0,0x00,0,2.33200002,1.58100009,1.48300004,1.32900012,1.50000000,0.60367203,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.118478,9837,0xF0,0x00,0,2.33200002,1.56000006,1.49900007,1.22600007,1.50000000,0.58555037,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.139331,9838,0xF0,0x00,0,2.33400011,1.52900004,1.51600003,1.26000011,1.50000000,0.56864434,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.139331,9839,0xF0,0x00,0,2.33000016,1.50900006,1.52600002,1.25300002,1.50000000,0.55384642,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.160054,9840,0xF0,0x00,0,2.32400012,1.48200011,1.53200006,1.35500002,1.50000000,0.54056209,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.160054,9841,0xF0,0x00,0,2.32300019,1.47500002,1.54000008,1.16900003,1.50000000,0.52943057,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.181272,9842,0xF0,0x00,0,2.31300020,1.46100008,1.54100013,1.24400008,1.50000000,0.51980549,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.181272,9843,0xF0,0x00,0,2.30599999,1.44700003,1.54300010,1.25500011,1.50000000,0.51192671,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.202758,9844,0xF0,0x00,0,2.30200005,1.44200003,1.54700005,1.19200003,1.50000000,0.50521952,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.202758,9845,0xF0,0x00,0,2.29900002,1.43100011,1.54500008,1.09100008,1.50000000,0.49901932,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.224702,9846,0xF0,0x00,0,2.29500008,1.42200005,1.54300010,1.21400011,1.50000000,0.49303728,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.224702,9847,0xF0,0x00,0,2.29100013,1.40800011,1.54300010,1.20900011,1.50000000,0.48752663,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.246786,9848,0xF0,0x00,0,2.28400016,1.39900005,1.54300010,1.18700004,1.50000000,0.48221257,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.246786,9849,0xF0,0x00,0,2.26800013,1.38900006,1.54300010,1.13300002,1.50000000,0.47715583,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.246786,9850,0xF0,0x00,0,2.23400021,1.38100004,1.54300010,1.09400010,1.50000000,0.47216111,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.267318,9851,0xF0,0x00,0,2.19200015,1.37400007,1.53800011,1.15200007,1.50000000,0.46772212,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.267318,9852,0xF0,0x00,0,2.14800000,1.35800004,1.52600002,1.18700004,1.50000000,0.46288121,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.287974,9853,0xF0,0x00,0,2.06800008,1.35300004,1.48900008,1.10600007,1.50000000,0.45836535,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.287974,9854,0xF0,0x00,0,1.95800006,1.34600008,1.44200003,1.16800010,1.50000000,0.45415226,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
